danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
0.325,0.362,6.0,-13.525,1.0,0.0403,0.901,0.0243,0.105,0.219,165.86,audio_features,5PaZBTR4C52ABPWylTbPPi,spotify:track:5PaZBTR4C52ABPWylTbPPi,https://api.spotify.com/v1/tracks/5PaZBTR4C52ABPWylTbPPi,https://api.spotify.com/v1/audio-analysis/5PaZBTR4C52ABPWylTbPPi,223571.0,4.0,
0.502,0.241,1.0,-16.939,1.0,0.0281,0.854,0.00118,0.106,0.152,110.081,audio_features,1wddrPuttVYxeTNadXGzv5,spotify:track:1wddrPuttVYxeTNadXGzv5,https://api.spotify.com/v1/tracks/1wddrPuttVYxeTNadXGzv5,https://api.spotify.com/v1/audio-analysis/1wddrPuttVYxeTNadXGzv5,260000.0,3.0,
0.417,0.328,0.0,-13.565,1.0,0.0472,0.981,0.183,0.0787,0.275,162.541,audio_features,7p215IvjgPPWoT2gXkZRS1,spotify:track:7p215IvjgPPWoT2gXkZRS1,https://api.spotify.com/v1/tracks/7p215IvjgPPWoT2gXkZRS1,https://api.spotify.com/v1/audio-analysis/7p215IvjgPPWoT2gXkZRS1,281879.0,4.0,
0.527,0.139,2.0,-13.696,1.0,0.0349,0.865,0.0139,0.363,0.0545,113.423,audio_features,7KJgAXegEprJhtCiFMhmVK,spotify:track:7KJgAXegEprJhtCiFMhmVK,https://api.spotify.com/v1/tracks/7KJgAXegEprJhtCiFMhmVK,https://api.spotify.com/v1/audio-analysis/7KJgAXegEprJhtCiFMhmVK,322875.0,4.0,
0.66,0.662,6.0,-9.418,1.0,0.0449,0.408,4.57e-05,0.114,0.213,104.396,audio_features,3dQRbABXnWxPUGDzehTu47,spotify:track:3dQRbABXnWxPUGDzehTu47,https://api.spotify.com/v1/tracks/3dQRbABXnWxPUGDzehTu47,https://api.spotify.com/v1/audio-analysis/3dQRbABXnWxPUGDzehTu47,186504.0,4.0,
0.59,0.62,5.0,-8.254,1.0,0.0379,0.668,0.000225,0.097,0.286,166.349,audio_features,02w4jlD7486J2arFerSVlJ,spotify:track:02w4jlD7486J2arFerSVlJ,https://api.spotify.com/v1/tracks/02w4jlD7486J2arFerSVlJ,https://api.spotify.com/v1/audio-analysis/02w4jlD7486J2arFerSVlJ,207706.0,4.0,
0.605,0.692,1.0,-9.002,1.0,0.0342,0.4,0.00246,0.111,0.841,116.25,audio_features,7skCLVpO2PbGfPib1FgD5C,spotify:track:7skCLVpO2PbGfPib1FgD5C,https://api.spotify.com/v1/tracks/7skCLVpO2PbGfPib1FgD5C,https://api.spotify.com/v1/audio-analysis/7skCLVpO2PbGfPib1FgD5C,156080.0,4.0,
0.711,0.437,4.0,-8.567,1.0,0.0328,0.806,0.0,0.183,0.561,106.092,audio_features,47t7MRzHXJ3mnL3TjN6a8J,spotify:track:47t7MRzHXJ3mnL3TjN6a8J,https://api.spotify.com/v1/tracks/47t7MRzHXJ3mnL3TjN6a8J,https://api.spotify.com/v1/audio-analysis/47t7MRzHXJ3mnL3TjN6a8J,149855.0,4.0,
0.598,0.213,0.0,-11.901,1.0,0.0326,0.892,6.69e-05,0.0657,0.187,124.951,audio_features,1I8aS0Al60tVWHJkDOprHB,spotify:track:1I8aS0Al60tVWHJkDOprHB,https://api.spotify.com/v1/tracks/1I8aS0Al60tVWHJkDOprHB,https://api.spotify.com/v1/audio-analysis/1I8aS0Al60tVWHJkDOprHB,244125.0,4.0,
0.732,0.518,8.0,-8.091,0.0,0.0286,0.691,0.00252,0.104,0.518,108.421,audio_features,77DK66if9xANiFcqTWiPkZ,spotify:track:77DK66if9xANiFcqTWiPkZ,https://api.spotify.com/v1/tracks/77DK66if9xANiFcqTWiPkZ,https://api.spotify.com/v1/audio-analysis/77DK66if9xANiFcqTWiPkZ,143200.0,4.0,
