name,id,artist_popularity,artist_genre,artist_track,likable
The Milk Carton Kids,7fxtWEwKKrFaykKItspdYg,55,"['indie folk', 'new americana', 'stomp and flutter', 'stomp and holler']",7fxtWEwKKrFaykKItspdYg,1
The Paper Kites,79hrYiudVcFyyxyJW0ipTy,68,"['australian indie folk', 'indie folk', 'pop rock', 'stomp and holler']",79hrYiudVcFyyxyJW0ipTy,1
The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,81,"['folk-pop', 'pop', 'pop rock', 'stomp and holler']",16oZKvXb6WkQlVAjwo2Wbg,1
Modern Baseball,1HxXNvsraqrsgfmju1yKk8,63,"['alternative emo', 'emo', 'philly indie', 'pop punk']",1HxXNvsraqrsgfmju1yKk8,1
Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,75,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'southern rock']",4MVyzYMgTwdP7Z49wAZHx0,1
Million Miles,3exZi47Gf3ZlXjKbvLp5Wm,38,[],3exZi47Gf3ZlXjKbvLp5Wm,1
WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,73,"['dance pop', 'dance rock', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",6DIS6PRrLS3wbnZsf7vYic,1
Dr. Dog,4mLJ3XfOM5FPjSAWdQ2Jk7,67,"['indie folk', 'indie rock', 'modern folk rock', 'modern rock', 'philly indie', 'stomp and holler']",4mLJ3XfOM5FPjSAWdQ2Jk7,1
Matchbox Twenty,3Ngh2zDBRPEriyxQDAMKd1,70,"['neo mellow', 'pop rock', 'post-grunge']",3Ngh2zDBRPEriyxQDAMKd1,1
Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,87,"['gauze pop', 'indietronica', 'shiver pop']",4yvcSjfu4PC0CYQyLy4wSq,1
Morningsiders,5hPR4Atp3QY2ztiAcz1inl,49,"['folk-pop', 'indiecoustica', 'stomp and holler']",5hPR4Atp3QY2ztiAcz1inl,1
Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,67,"['alternative rock', 'indie pop', 'indie rock', 'modern rock', 'pop rock', 'washington indie']",0YrtvWJMgSdVrk3SfNjTbx,1
The Pharcyde,7yk35uHNQclPXFGFoTU44w,63,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'rap', 'west coast rap']",7yk35uHNQclPXFGFoTU44w,1
Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,76,"['modern folk rock', 'modern rock', 'pop rock', 'stomp and holler', 'uk americana']",3gd8FJtBJtkRxdfbTu19U2,1
Langhorne Slim,099toTcKJoywTosZr2hHjy,57,"['anti-folk', 'deep new americana', 'indie folk', 'modern folk rock', 'new americana', 'stomp and holler']",099toTcKJoywTosZr2hHjy,1
The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,89,"['modern alternative rock', 'modern rock', 'pop']",77SW9BnxLY8rJ0RciFqkHh,1
Trampled by Turtles,3GjVVVcFmUgEJEAAsbGkf4,59,"['bluegrass', 'deep new americana', 'duluth indie', 'indie folk', 'jam band', 'new americana', 'progressive bluegrass', 'roots rock', 'stomp and holler']",3GjVVVcFmUgEJEAAsbGkf4,1
Brendan Benson,2Ij97fuR3unjlboQfIYs31,34,"['jangle pop', 'power pop']",2Ij97fuR3unjlboQfIYs31,1
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,92,"['permanent wave', 'pop']",4gzpq5DPGxSnKTe4SA8HAU,1
Wild Child,1xLMexpeeTKQ20SwGMaGSK,55,"['austin americana', 'austindie', 'deep new americana', 'folk-pop', 'indie folk', 'new americana', 'stomp and holler']",1xLMexpeeTKQ20SwGMaGSK,1
Deer Tick,3rT8xTwSOMDURtWpPyoKIO,49,"['alternative country', 'deep new americana', 'indie folk', 'modern folk rock', 'new americana', 'rhode island indie', 'roots rock', 'stomp and holler']",3rT8xTwSOMDURtWpPyoKIO,1
