acousticness,danceability,duration_ms,energy,id,instrumentalness,key_1,key_10,key_11,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,likable,liveness,loudness,mode,speechiness,tempo,time_signature_0time_signature_1time_signature_3,time_signature_3,time_signature_4,time_signature_5,time_signature_6,time_signature_7valence,valence
0.225,0.562,226800,0.675,400umxn1XJFEhLzEnXa6mV,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0963,-4.115,1,0.0326,129.798,0,0,1,0,0,0,0.694
0.922,0.575,180707,0.223,6tx4jMaZBFjhBt34f84fp0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.102,-10.563,1,0.029,143.946,0,0,1,0,0,0,0.295
0.0114,0.457,111210,0.648,0jk6J6B9ivegJc7dTg10Mp,1.69e-05,0,0,0,0,0,0,0,0,1,0,0,1,0.212,-5.762,1,0.0552,160.021,0,0,1,0,0,0,0.736
0.282,0.62,219467,0.863,4CpertYLR6sEQcDLdiAzdu,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0.0686,-3.373,1,0.0587,91.414,0,0,1,0,0,0,0.833
0.404,0.523,205360,0.616,4v9pY7IdOPHf1395tXOB4W,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0.639,-9.555,1,0.0449,78.907,0,0,1,0,0,0,0.687
0.275,0.532,265850,0.686,1K96cDHhmM9q1Zdj4GzlTT,5.75e-06,0,0,0,0,0,1,0,0,0,0,0,1,0.217,-7.569,1,0.0342,108.638,0,0,1,0,0,0,0.411
0.489,0.327,262200,0.412,2tRxW2A9eyYmHv3JihIikW,7.72e-06,0,0,0,0,0,0,0,0,0,0,0,1,0.308,-8.511,1,0.029,86.419,0,0,1,0,0,0,0.173
0.952,0.404,294933,0.508,1pwCB34vdjFdqL3PyeEhKS,0.000807,0,0,0,0,0,0,0,0,0,1,0,1,0.164,-5.893,0,0.0265,143.911,0,0,1,0,0,0,0.278
0.952,0.404,294933,0.508,7nl6fbpRrLAED8KR2pUgTp,0.000807,0,0,0,0,0,0,0,0,0,1,0,0,0.164,-5.893,0,0.0265,143.911,0,0,1,0,0,0,0.278
0.214,0.39,351856,0.675,2tLH5EsewbZNvmWidJqzDF,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0.673,-7.77,0,0.483,122.968,0,0,1,0,0,0,0.191
0.377,0.405,205707,0.751,5atlAt28h9xM5wxPspr5MU,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0.0958,-3.608,1,0.0392,120.807,0,0,1,0,0,0,0.762
0.462,0.697,173631,0.877,4iEOVEULZRvmzYSZY2ViKN,0.00943,0,0,0,0,1,0,0,0,0,0,0,1,0.083,-4.465,1,0.0462,101.99,0,0,1,0,0,0,0.802
0.00776,0.762,287120,0.766,5fwSHlTEWpluwOM0Sxnh5k,6.98e-05,0,0,0,0,0,0,0,0,1,0,0,1,0.128,-3.955,1,0.0343,130.001,0,0,1,0,0,0,0.442
0.0505,0.512,215173,0.817,3ItzRpwvKtkDSNdRSjXu7Z,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0.0775,-3.154,1,0.142,154.607,0,0,1,0,0,0,0.552
0.228,0.536,201413,0.775,3MvtzgklFDhOAC3lQJR09S,0.000143,0,0,0,0,0,0,0,0,0,1,0,1,0.0947,-6.765,1,0.0394,151.393,0,0,1,0,0,0,0.485
0.0495,0.612,240400,0.807,2QjOHCTQ1Jl3zawyYOpxh6,0.0177,0,1,0,0,0,0,0,0,0,0,0,1,0.101,-2.81,1,0.0336,124.053,0,0,1,0,0,0,0.398
0.19,0.387,185600,0.442,7lWF2mVr1KKbVnaT2nSlPo,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0788,-7.086,1,0.0352,169.481,0,0,1,0,0,0,0.382
0.000932,0.569,203244,0.643,18x4IO5OzTlaQDupmGG9eg,0.00017,0,0,0,0,0,0,1,0,0,0,0,1,0.0721,-7.039,0,0.04,89.956,0,0,1,0,0,0,0.846
0.000346,0.482,212293,0.833,1fBl642IhJOE5U319Gy2Go,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0.365,-5.611,1,0.0449,148.039,0,0,1,0,0,0,0.74
0.613,0.664,160097,0.573,3d8y0t70g7hw2FOWl9Z4Fm,0.000363,0,0,0,0,0,0,1,0,0,0,0,1,0.0857,-6.519,1,0.0277,76.023,0,0,1,0,0,0,0.566
0.746,0.532,212680,0.573,796IKFUy6xJKcJuV4loLrt,7.23e-06,0,0,0,0,0,1,0,0,0,0,0,1,0.199,-8.48,1,0.0362,83.759,0,1,0,0,0,0,0.495
0.316,0.627,235293,0.959,4yYvWFUWMaKMXtoJKJnmZk,0.00576,0,0,0,0,0,0,0,0,1,0,0,1,0.112,-4.744,1,0.0298,109.981,0,0,1,0,0,0,0.397
0.6,0.606,168307,0.411,4XpQ2F8NtzWMZ3g5t8qv2Y,0.000649,1,0,0,0,0,0,0,0,0,0,0,1,0.103,-7.566,1,0.0413,84.944,0,0,1,0,0,0,0.412
0.00045,0.597,158833,0.613,7A1k5EyKAMJwqzMJRViX9W,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0.341,-7.93,1,0.0282,94.039,0,0,1,0,0,0,0.634
0.692,0.252,111133,0.977,3AFeX7RsYJzNKChOTA3vPf,0.000426,0,0,0,0,0,0,0,0,0,0,1,1,0.596,-1.663,0,0.135,94.885,0,0,1,0,0,0,0.459
0.147,0.618,273787,0.732,5zTX7MeCrTX5ZBFSqJS7XZ,9.23e-06,0,0,0,0,0,0,1,0,0,0,0,1,0.0925,-4.609,1,0.0724,140.086,0,0,1,0,0,0,0.444
0.771,0.519,221289,0.404,4UHr2aP2CxUfCk8rMbtT7n,1.09e-06,0,0,0,0,0,0,0,0,0,0,1,1,0.255,-10.295,1,0.0483,82.234,0,0,1,0,0,0,0.28
0.982,0.532,126825,0.137,429NtPmr12aypzFH3FkN9l,0.962,0,0,0,0,0,0,0,0,0,0,1,1,0.112,-18.208,1,0.0717,118.734,0,0,1,0,0,0,0.301
0.00434,0.559,217000,0.923,5K19S5sw856o8o12xMLlet,5.77e-06,0,0,0,0,0,1,0,0,0,0,0,1,0.115,-5.682,1,0.0603,144.978,0,0,1,0,0,0,0.448
0.0448,0.622,278293,0.471,5S5u0EWtlblH00iTNExZ6X,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0.0957,-7.105,1,0.0277,124.455,0,0,1,0,0,0,0.278
0.00548,0.508,206520,0.577,1bXNwZgYyi3dQ3fFl3jr4T,0.00135,0,0,0,0,0,0,0,0,0,0,1,1,0.119,-7.506,1,0.0449,149.799,0,0,1,0,0,0,0.432
0.0169,0.631,186680,0.565,1jTx0HJI6hPexjNKAQa8jB,0.0921,0,0,1,0,0,0,0,0,0,0,0,1,0.543,-6.56,0,0.0661,187.996,0,0,1,0,0,0,0.719
0.731,0.726,173333,0.431,7eJMfftS33KTjuF7lTsMCx,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0.696,-8.765,0,0.135,144.026,0,0,1,0,0,0,0.348
