danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,likable
0.87,0.699,5,-5.541,0,0.0459,0.245,6.76e-06,0.0588,0.726,126.967,audio_features,6A6qBFJHid4WutQu6HHEZt,spotify:track:6A6qBFJHid4WutQu6HHEZt,https://api.spotify.com/v1/tracks/6A6qBFJHid4WutQu6HHEZt,https://api.spotify.com/v1/audio-analysis/6A6qBFJHid4WutQu6HHEZt,198440,4,1
0.449,0.314,0,-12.009,0,0.031,0.463,0.0509,0.31,0.281,91.032,audio_features,7KbuK70PwKK722BvMXvfqB,spotify:track:7KbuK70PwKK722BvMXvfqB,https://api.spotify.com/v1/tracks/7KbuK70PwKK722BvMXvfqB,https://api.spotify.com/v1/audio-analysis/7KbuK70PwKK722BvMXvfqB,331320,4,1
0.703,0.826,10,-7.179,0,0.0341,0.0322,0.00629,0.179,0.945,103.564,audio_features,3mRM4NM8iO7UBqrSigCQFH,spotify:track:3mRM4NM8iO7UBqrSigCQFH,https://api.spotify.com/v1/tracks/3mRM4NM8iO7UBqrSigCQFH,https://api.spotify.com/v1/audio-analysis/3mRM4NM8iO7UBqrSigCQFH,285373,4,1
0.532,0.947,8,-4.2,1,0.0457,0.0657,1.49e-06,0.065,0.748,95.786,audio_features,57XbiF3mXSAXDntyEw57lW,spotify:track:57XbiF3mXSAXDntyEw57lW,https://api.spotify.com/v1/tracks/57XbiF3mXSAXDntyEw57lW,https://api.spotify.com/v1/audio-analysis/57XbiF3mXSAXDntyEw57lW,156813,4,1
0.491,0.802,4,-7.106,1,0.0392,0.25,0.0,0.387,0.472,119.25,audio_features,77NNZQSqzLNqh2A9JhLRkg,spotify:track:77NNZQSqzLNqh2A9JhLRkg,https://api.spotify.com/v1/tracks/77NNZQSqzLNqh2A9JhLRkg,https://api.spotify.com/v1/audio-analysis/77NNZQSqzLNqh2A9JhLRkg,248907,4,1
0.642,0.478,0,-7.713,1,0.0309,0.226,0.000125,0.0999,0.766,139.908,audio_features,4jZo1Qb38CwMV5OCJlROVV,spotify:track:4jZo1Qb38CwMV5OCJlROVV,https://api.spotify.com/v1/tracks/4jZo1Qb38CwMV5OCJlROVV,https://api.spotify.com/v1/audio-analysis/4jZo1Qb38CwMV5OCJlROVV,195952,4,1
0.922,0.392,5,-12.083,0,0.122,0.0444,0.165,0.123,0.771,109.878,audio_features,5HkFTCxSeJ3kGNyQJbT4rJ,spotify:track:5HkFTCxSeJ3kGNyQJbT4rJ,https://api.spotify.com/v1/tracks/5HkFTCxSeJ3kGNyQJbT4rJ,https://api.spotify.com/v1/audio-analysis/5HkFTCxSeJ3kGNyQJbT4rJ,215933,4,1
0.624,0.878,8,-2.934,1,0.0514,0.000457,0.0,0.0656,0.878,119.106,audio_features,3c7vquF4xacCmFrxztLUVH,spotify:track:3c7vquF4xacCmFrxztLUVH,https://api.spotify.com/v1/tracks/3c7vquF4xacCmFrxztLUVH,https://api.spotify.com/v1/audio-analysis/3c7vquF4xacCmFrxztLUVH,216560,4,1
0.76,0.674,3,-6.425,1,0.0411,0.231,0.0027,0.0728,0.797,140.022,audio_features,1bHEcHv3lUkLFAebNnaPNE,spotify:track:1bHEcHv3lUkLFAebNnaPNE,https://api.spotify.com/v1/tracks/1bHEcHv3lUkLFAebNnaPNE,https://api.spotify.com/v1/audio-analysis/1bHEcHv3lUkLFAebNnaPNE,204067,4,1
0.787,0.689,11,-5.617,1,0.319,0.331,0.0,0.114,0.779,90.528,audio_features,6XMYnm4OTEysN8blzqiCL9,spotify:track:6XMYnm4OTEysN8blzqiCL9,https://api.spotify.com/v1/tracks/6XMYnm4OTEysN8blzqiCL9,https://api.spotify.com/v1/audio-analysis/6XMYnm4OTEysN8blzqiCL9,212347,4,1
